GeneId	Symbol	Type	TranscriptsWithConservation	NonredundantExons	SpeciesWithSeqOrthologs	SpeciesWithBLAST	SpeciesWithWGA	SpeciesWithSynteny	SpeciesWithSequenceAndSynteny	Mouse BLAST	Mouse WGA	Mouse Synteny	Mouse Sequence+Synteny	Mouse Sequence region number	Mouse Sequence regions	Mouse Sequence exon number	Mouse Sequence exons	Mouse conserved region length
ENSG00000257893.2_5	[LINC02404]	[lincRNA]	[ENST00000546710.2_1]	2	[Mouse]	[]	[Mouse]	[Mouse]	[]		[ENSMUST00000218446.1]	[ENSMUST00000219918.1]		2	92271166-92271265;92273342-92274431;	2	92271166-92271265;92273342-92274431;	369090204
ENSG00000276952.1_5	[AL121772.3]	[antisense]	[ENST00000610840.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000180851.1]		0		0		0
ENSG00000278383.1_5	[AL031673.1]	[antisense]	[ENST00000611460.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000123048.1, ENSMUST00000129286.1, ENSMUST00000133385.1, ENSMUST00000157058.1, ENSMUST00000170215.1, ENSMUST00000208218.1]		0		0		0
ENSG00000226070.1_5	[AL139275.1]	[lincRNA]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000222004.7_2	[C7orf71]	[lincRNA]	[]	4	[]	[]	[]	[]	[]					0		0		0
ENSG00000279918.1_2	[AC006840.1]	[TEC]	[]	1	[]	[]	[]	[]	[]					0		0		0
ENSG00000214407.3_5	[LINC02085]	[lincRNA]	[]	4	[]	[]	[]	[]	[]					0		0		0
ENSG00000268199.2_5	[AC010335.1]	[antisense]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000279121.1_5	[AC073592.5]	[TEC]	[ENST00000624854.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000196503.1, ENSMUST00000198978.1]		0		0		0
ENSG00000273792.1_6	[AC022898.2]	[sense_intronic]	[ENST00000616822.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000186992.1]		0		0		0
ENSG00000228719.1_5	[AL022313.2]	[lincRNA]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000271926.1_5	[AC008972.1]	[lincRNA]	[ENST00000607027.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000225263.1, ENSMUST00000225686.1]		0		0		0
ENSG00000255084.1_5	[AP003110.1]	[antisense]	[ENST00000526976.1_1]	4	[]	[]	[]	[Mouse]	[]			[ENSMUST00000129409.1, ENSMUST00000131080.1, ENSMUST00000136294.2, ENSMUST00000137923.1, ENSMUST00000149463.2, ENSMUST00000155101.1, ENSMUST00000205925.1]		0		0		0
ENSG00000230113.1_5	[AC138207.1]	[antisense]	[ENST00000442757.1_1]	2	[Mouse]	[Mouse]	[Mouse]	[Mouse]	[Mouse]	[ENSMUST00000140556.1]	[ENSMUST00000140556.1]	[ENSMUST00000140556.1, ENSMUST00000165610.1, ENSMUST00000208268.1, ENSMUST00000208339.1]	[ENSMUST00000140556.1]	2	29283297-29283622;29283759-29283979;	2	29283297-29283622;29283759-29283979;	117134657
ENSG00000225559.1_5	[AC083867.1]	[lincRNA]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000187979.4_6	[FAM230D]	[antisense]	[ENST00000434390.1_1]	9	[]	[]	[]	[Mouse]	[]			[ENSMUST00000203718.1]		0		0		0
ENSG00000272049.1_6	[AC091965.4]	[lincRNA]	[ENST00000607691.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000147013.2]		0		0		0
ENSG00000234546.3_4	[LNCTAM34A]	[lincRNA]	[ENST00000412639.2_1, ENST00000635271.1_1]	5	[Mouse]	[]	[Mouse]	[]	[]		[ENSMUST00000134236.1]			1	9242062-9242375;	1	9242062-9242375;	18484437
ENSG00000259793.1_5	[AC013726.1]	[antisense]	[ENST00000563747.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000187511.1]		0		0		0
ENSG00000258742.5_5	[AL117192.1]	[lincRNA]	[]	3	[]	[]	[]	[]	[]					0		0		0
ENSG00000285165.1_2	[AC124014.1]	[antisense]	[ENST00000644669.1_1]	5	[]	[]	[]	[Mouse]	[]			[ENSMUST00000132007.1, ENSMUST00000145789.1]		0		0		0
ENSG00000276517.1_5	[AL133243.3]	[sense_intronic]	[]	1	[]	[]	[]	[]	[]					0		0		0
ENSG00000231227.1_6	[AC006450.1]	[sense_overlapping]	[ENST00000421041.1_1]	2	[]	[]	[]	[Mouse]	[]			[ENSMUST00000132692.2, ENSMUST00000146404.1, ENSMUST00000203312.1, ENSMUST00000204396.1]		0		0		0
ENSG00000269976.1_6	[AC012065.3]	[lincRNA]	[ENST00000602736.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000218567.1]		0		0		0
ENSG00000258548.5_4	[LINC00645]	[lincRNA]	[]	5	[]	[]	[]	[]	[]					0		0		0
ENSG00000261743.1_5	[AC138305.2]	[lincRNA]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000250252.1_5	[LINC02430]	[lincRNA]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000282996.1_6	[MPP7-DT]	[lincRNA]	[]	3	[]	[]	[]	[]	[]					0		0		0
ENSG00000253653.1_5	[AC009185.1]	[antisense]	[ENST00000517634.1_2]	3	[]	[]	[]	[Mouse]	[]			[ENSMUST00000148132.1]		0		0		0
ENSG00000253716.5_5	[MINCR]	[antisense]	[ENST00000517411.1_1, ENST00000518073.1_1, ENST00000519852.5_1, ENST00000521207.1_1, ENST00000523031.1_1, ENST00000524335.1_1]	3	[]	[]	[]	[Mouse]	[]			[ENSMUST00000229763.1]		0		0		0
ENSG00000266962.2_5	[AC067852.2]	[antisense]	[]	1	[]	[]	[]	[]	[]					0		0		0
ENSG00000286144.1_1	[Z97056.2]	[lincRNA]	[ENST00000652019.1_1]	4	[]	[]	[]	[Mouse]	[]			[ENSMUST00000229365.1]		0		0		0
ENSG00000267101.6_5	[AC090376.1]	[lincRNA]	[ENST00000587276.1_2, ENST00000589845.5_2, ENST00000649653.1_1]	9	[]	[]	[]	[Mouse]	[]			[ENSMUST00000235470.1, ENSMUST00000238077.1]		0		0		0
ENSG00000259504.2_5	[AC026992.1]	[lincRNA]	[]	5	[]	[]	[]	[]	[]					0		0		0
ENSG00000267642.1_5	[AC091198.1]	[lincRNA]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000280333.1_5	[AC090617.9]	[TEC]	[ENST00000624308.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000155508.1, ENSMUST00000189608.1]		0		0		0
ENSG00000234869.1_5	[AL021392.1]	[antisense]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000279256.1_5	[AL442639.1]	[TEC]	[ENST00000625030.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000126270.1, ENSMUST00000127678.1, ENSMUST00000133884.7, ENSMUST00000137509.1]		0		0		0
ENSG00000270062.1_6	[AL606834.2]	[sense_intronic]	[]	1	[]	[]	[]	[]	[]					0		0		0
ENSG00000260135.6_5	[MMP2-AS1]	[lincRNA]	[ENST00000565307.1_1, ENST00000569037.5_1, ENST00000620495.1_1]	8	[]	[]	[]	[Mouse]	[]			[ENSMUST00000210252.1, ENSMUST00000211295.1]		0		0		0
ENSG00000280139.1_5	[AC010297.1]	[TEC]	[]	1	[]	[]	[]	[]	[]					0		0		0
ENSG00000256151.1_5	[ADGRD1-AS1]	[lincRNA]	[ENST00000536673.1_1, ENST00000542980.1_1]	3	[]	[]	[]	[Mouse]	[]			[ENSMUST00000199847.1]		0		0		0
ENSG00000229558.2_4	[SACS-AS1]	[lincRNA]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000203801.8_4	[LINC00222]	[lincRNA]	[]	6	[]	[]	[]	[]	[]					0		0		0
ENSG00000234160.1_5	[AL513165.1]	[antisense]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000234072.1_5	[AC074117.1]	[antisense]	[]	4	[]	[]	[]	[]	[]					0		0		0
ENSG00000269600.1_5	[AC016629.2]	[antisense]	[ENST00000596029.1_1, ENST00000596427.1_1]	3	[Mouse]	[Mouse]	[]	[Mouse]	[]	[ENSMUST00000207005.1]		[ENSMUST00000209940.1]		1	59110467-59110659;	1	59110466-59110722;	118221126
ENSG00000249837.1_5	[AC121154.1]	[lincRNA]	[ENST00000507299.1_1]	5	[]	[]	[]	[Mouse]	[]			[ENSMUST00000195887.1, ENSMUST00000196546.1, ENSMUST00000197658.1, ENSMUST00000198401.1, ENSMUST00000199198.1, ENSMUST00000199408.4, ENSMUST00000200199.1]		0		0		0
ENSG00000264434.2_5	[AC110603.1]	[antisense]	[ENST00000580645.2_1]	2	[]	[]	[]	[Mouse]	[]			[ENSMUST00000234218.1, ENSMUST00000235083.1]		0		0		0
ENSG00000256948.1_5	[AC026369.3]	[antisense]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000250686.2_6	[KHDRBS2-OT]	[3prime_overlapping_ncRNA]	[ENST00000511849.2_1]	6	[]	[]	[]	[Mouse]	[]			[ENSMUST00000148705.1, ENSMUST00000192993.1, ENSMUST00000193099.1, ENSMUST00000195178.1, ENSMUST00000195240.1, ENSMUST00000195241.1, ENSMUST00000195761.1]		0		0		0
ENSG00000253894.1_5	[AC011124.2]	[lincRNA]	[]	6	[]	[]	[]	[]	[]					0		0		0
ENSG00000284607.1_3	[AL121936.1]	[lincRNA]	[ENST00000641660.1_1]	2	[Mouse]	[]	[Mouse]	[Mouse]	[Mouse]		[ENSMUST00000141543.1, ENSMUST00000153753.1]	[ENSMUST00000141543.1, ENSMUST00000153753.1, ENSMUST00000221461.1]	[ENSMUST00000141543.1, ENSMUST00000153753.1]	1	26572255-26574926;	1	26572255-26574926;	53147181
ENSG00000261186.2_5	[LINC01238]	[antisense]	[]	1	[]	[]	[]	[]	[]					0		0		0
ENSG00000262769.1_6	[AC025627.1]	[antisense]	[ENST00000574267.1_1]	4	[]	[]	[]	[Mouse]	[]			[ENSMUST00000210265.1]		0		0		0
ENSG00000273551.1_5	[AC120498.8]	[lincRNA]	[]	1	[]	[]	[]	[]	[]					0		0		0
